iter	Passed	Remaining
0	10	10032
1	17	8525
2	22	7378
3	25	6289
4	28	5625
5	31	5158
6	34	4856
7	39	4858
8	42	4726
9	47	4670
10	51	4642
11	56	4613
12	59	4535
13	63	4501
14	67	4424
15	71	4399
16	75	4365
17	81	4441
18	85	4415
19	88	4355
20	92	4292
21	95	4251
22	99	4236
23	103	4197
24	106	4166
25	110	4145
26	114	4133
27	118	4104
28	122	4086
29	125	4065
30	129	4051
31	133	4038
32	137	4022
33	141	4022
34	144	3989
35	148	3969
36	152	3964
37	156	3957
38	160	3956
39	164	3954
40	168	3943
41	172	3932
42	175	3916
43	179	3904
44	183	3896
45	187	3892
46	192	3898
47	195	3878
48	198	3858
49	204	3881
50	208	3873
51	212	3874
52	215	3853
53	220	3859
54	224	3852
55	229	3862
56	234	3872
57	238	3869
58	241	3848
59	244	3832
60	249	3842
61	252	3825
62	256	3815
63	260	3812
64	264	3804
65	268	3800
66	271	3782
67	275	3774
68	278	3763
69	282	3749
70	285	3736
71	288	3718
72	291	3698
73	294	3679
74	296	3660
75	300	3647
76	302	3631
77	305	3613
78	308	3596
79	311	3580
80	314	3566
81	317	3550
82	319	3534
83	322	3519
84	325	3504
85	328	3492
86	331	3480
87	334	3466
88	337	3453
89	340	3439
90	342	3425
91	345	3411
92	348	3399
93	351	3386
94	354	3373
95	356	3361
96	360	3352
97	362	3340
98	365	3329
99	368	3317
100	371	3305
101	374	3293
102	376	3283
103	379	3273
104	382	3262
105	385	3251
106	388	3244
107	391	3234
108	394	3224
109	397	3218
110	400	3209
111	403	3200
112	406	3191
113	409	3181
114	412	3173
115	415	3164
116	418	3157
117	421	3149
118	424	3141
119	427	3132
120	430	3125
121	433	3117
122	436	3109
123	438	3101
124	441	3092
125	444	3086
126	448	3080
127	451	3072
128	454	3065
129	456	3058
130	459	3049
131	462	3043
132	465	3035
133	468	3027
134	471	3019
135	474	3012
136	477	3005
137	480	3000
138	483	2993
139	486	2987
140	489	2980
141	492	2972
142	494	2966
143	501	2980
144	504	2973
145	507	2966
146	510	2960
147	513	2955
148	516	2948
149	519	2942
150	522	2935
151	524	2928
152	527	2922
153	530	2915
154	533	2909
155	536	2902
156	539	2895
157	542	2890
158	545	2884
159	548	2878
160	551	2872
161	554	2866
162	556	2860
163	559	2853
164	562	2848
165	565	2841
166	568	2835
167	571	2830
168	574	2826
169	577	2819
170	580	2813
171	583	2807
172	586	2801
173	589	2796
174	592	2790
175	594	2785
176	597	2779
177	600	2773
178	603	2769
179	606	2762
180	610	2761
181	613	2756
182	616	2752
183	619	2747
184	622	2741
185	625	2737
186	628	2732
187	631	2727
188	634	2724
189	637	2719
190	640	2714
191	643	2710
192	646	2704
193	649	2699
194	652	2694
195	655	2689
196	658	2684
197	661	2678
198	664	2674
199	667	2669
200	670	2666
201	673	2661
202	676	2656
203	679	2651
204	682	2646
205	685	2641
206	688	2636
207	691	2631
208	694	2626
209	697	2622
210	700	2617
211	703	2613
212	706	2609
213	709	2604
214	712	2599
215	715	2595
216	718	2590
217	721	2586
218	724	2582
219	727	2578
220	730	2573
221	733	2569
222	736	2565
223	739	2562
224	742	2557
225	745	2553
226	748	2549
227	751	2545
228	754	2541
229	757	2536
230	760	2532
231	763	2528
232	766	2523
233	769	2519
234	772	2515
235	775	2510
236	778	2507
237	781	2502
238	784	2498
239	787	2494
240	790	2489
241	793	2484
242	796	2480
243	799	2476
244	802	2472
245	805	2468
246	808	2464
247	811	2460
248	814	2456
249	817	2451
250	820	2448
251	823	2444
252	826	2439
253	829	2435
254	832	2431
255	835	2427
256	838	2424
257	841	2420
258	844	2415
259	847	2411
260	850	2407
261	853	2403
262	856	2399
263	859	2394
264	862	2390
265	865	2386
266	867	2382
267	870	2378
268	873	2374
269	876	2370
270	879	2366
271	882	2362
272	885	2359
273	888	2355
274	891	2350
275	894	2346
276	897	2342
277	900	2339
278	903	2335
279	906	2331
280	909	2327
281	912	2323
282	915	2319
283	918	2315
284	921	2311
285	924	2307
286	927	2303
287	929	2299
288	933	2295
289	935	2291
290	938	2287
291	941	2283
292	944	2279
293	947	2276
294	950	2272
295	953	2267
296	956	2263
297	959	2259
298	962	2255
299	965	2252
300	968	2249
301	971	2245
302	974	2241
303	977	2237
304	980	2233
305	983	2230
306	986	2226
307	989	2222
308	992	2218
309	995	2215
310	998	2213
311	1004	2215
312	1008	2213
313	1012	2212
314	1015	2209
315	1019	2207
316	1023	2205
317	1027	2204
318	1032	2204
319	1035	2200
320	1038	2197
321	1041	2193
322	1044	2189
323	1048	2186
324	1051	2184
325	1054	2180
326	1058	2178
327	1062	2176
328	1066	2174
329	1069	2172
330	1074	2171
331	1077	2168
332	1081	2165
333	1085	2164
334	1088	2161
335	1092	2159
336	1096	2157
337	1100	2155
338	1104	2152
339	1109	2153
340	1113	2152
341	1117	2150
342	1121	2149
343	1126	2148
344	1130	2146
345	1133	2142
346	1137	2140
347	1143	2141
348	1147	2139
349	1151	2137
350	1155	2136
351	1159	2134
352	1162	2130
353	1167	2131
354	1170	2127
355	1174	2125
356	1178	2122
357	1182	2121
358	1187	2120
359	1190	2116
360	1193	2112
361	1198	2111
362	1202	2110
363	1206	2108
364	1210	2105
365	1214	2104
366	1218	2101
367	1222	2099
368	1226	2097
369	1229	2094
370	1233	2090
371	1236	2087
372	1240	2084
373	1242	2080
374	1245	2076
375	1248	2072
376	1251	2068
377	1254	2064
378	1257	2060
379	1260	2056
380	1264	2053
381	1267	2050
382	1271	2047
383	1275	2045
384	1278	2042
385	1282	2039
386	1286	2037
387	1289	2034
388	1293	2031
389	1296	2028
390	1300	2026
391	1304	2023
392	1308	2021
393	1312	2018
394	1316	2016
395	1321	2015
396	1324	2011
397	1328	2008
398	1331	2006
399	1335	2003
400	1339	2000
401	1343	1997
402	1347	1995
403	1351	1993
404	1355	1991
405	1359	1989
406	1362	1985
407	1367	1984
408	1372	1982
409	1375	1980
410	1379	1977
411	1383	1974
412	1387	1971
413	1391	1969
414	1394	1966
415	1398	1962
416	1400	1958
417	1404	1955
418	1408	1953
419	1416	1955
420	1419	1952
421	1425	1951
422	1430	1951
423	1435	1949
424	1439	1947
425	1442	1944
426	1446	1940
427	1451	1940
428	1455	1937
429	1461	1937
430	1467	1937
431	1470	1933
432	1475	1932
433	1480	1931
434	1485	1929
435	1490	1928
436	1494	1925
437	1498	1922
438	1503	1921
439	1507	1918
440	1511	1916
441	1516	1913
442	1519	1911
443	1523	1908
444	1527	1905
445	1532	1903
446	1535	1899
447	1538	1896
448	1541	1891
449	1545	1888
450	1548	1885
451	1551	1881
452	1555	1877
453	1558	1873
454	1561	1870
455	1566	1868
456	1569	1864
457	1572	1860
458	1575	1857
459	1579	1854
460	1583	1851
461	1586	1847
462	1590	1844
463	1593	1840
464	1597	1838
465	1600	1834
466	1604	1831
467	1607	1827
468	1611	1824
469	1614	1820
470	1617	1816
471	1620	1813
472	1623	1809
473	1627	1806
474	1631	1802
475	1634	1799
476	1637	1795
477	1641	1792
478	1645	1789
479	1649	1786
480	1651	1782
481	1655	1779
482	1658	1775
483	1663	1773
484	1666	1769
485	1670	1766
486	1673	1763
487	1677	1760
488	1681	1756
489	1684	1753
490	1687	1749
491	1690	1745
492	1694	1742
493	1697	1738
494	1700	1734
495	1703	1730
496	1706	1727
497	1710	1724
498	1714	1721
499	1717	1717
500	1720	1713
501	1723	1709
502	1726	1705
503	1729	1702
504	1732	1698
505	1736	1695
506	1739	1691
507	1742	1687
508	1745	1683
509	1748	1679
510	1752	1676
511	1755	1673
512	1759	1670
513	1762	1666
514	1766	1663
515	1768	1659
516	1772	1655
517	1775	1652
518	1778	1648
519	1781	1644
520	1784	1640
521	1788	1637
522	1792	1634
523	1795	1631
524	1798	1627
525	1802	1623
526	1804	1620
527	1808	1616
528	1811	1612
529	1814	1609
530	1817	1605
531	1820	1601
532	1825	1599
533	1827	1595
534	1831	1591
535	1834	1587
536	1837	1583
537	1841	1581
538	1844	1577
539	1847	1573
540	1850	1569
541	1853	1566
542	1857	1563
543	1860	1559
544	1863	1555
545	1867	1552
546	1869	1548
547	1874	1546
548	1877	1542
549	1880	1538
550	1883	1535
551	1887	1531
552	1890	1528
553	1893	1524
554	1896	1520
555	1899	1517
556	1903	1513
557	1906	1509
558	1909	1506
559	1912	1502
560	1915	1498
561	1918	1495
562	1922	1492
563	1925	1488
564	1928	1484
565	1931	1480
566	1934	1477
567	1938	1474
568	1941	1470
569	1944	1466
570	1947	1463
571	1950	1459
572	1954	1456
573	1957	1452
574	1960	1448
575	1963	1445
576	1966	1441
577	1969	1437
578	1972	1433
579	1975	1430
580	1977	1426
581	1980	1422
582	1983	1418
583	1986	1415
584	1989	1411
585	1992	1407
586	1995	1403
587	1998	1400
588	2001	1396
589	2004	1392
590	2007	1388
591	2009	1385
592	2012	1381
593	2016	1377
594	2018	1374
595	2021	1370
596	2024	1366
597	2027	1362
598	2030	1359
599	2033	1355
600	2036	1351
601	2038	1348
602	2041	1344
603	2044	1340
604	2047	1337
605	2050	1333
606	2053	1329
607	2056	1325
608	2059	1322
609	2062	1318
610	2065	1314
611	2068	1311
612	2071	1307
613	2074	1303
614	2077	1300
615	2079	1296
616	2082	1292
617	2085	1289
618	2088	1285
619	2091	1281
620	2094	1278
621	2097	1274
622	2100	1271
623	2103	1267
624	2106	1264
625	2109	1260
626	2112	1256
627	2115	1253
628	2118	1249
629	2121	1245
630	2124	1242
631	2126	1238
632	2129	1234
633	2132	1231
634	2136	1227
635	2138	1224
636	2141	1220
637	2144	1216
638	2147	1213
639	2150	1209
640	2153	1206
641	2156	1202
642	2159	1198
643	2161	1195
644	2165	1191
645	2168	1188
646	2170	1184
647	2173	1180
648	2176	1177
649	2179	1173
650	2182	1170
651	2185	1166
652	2188	1162
653	2191	1159
654	2194	1155
655	2197	1152
656	2200	1148
657	2203	1145
658	2206	1141
659	2209	1138
660	2212	1134
661	2215	1130
662	2217	1127
663	2220	1123
664	2223	1120
665	2226	1116
666	2229	1113
667	2232	1109
668	2235	1106
669	2238	1102
670	2241	1098
671	2244	1095
672	2247	1091
673	2250	1088
674	2252	1084
675	2256	1081
676	2259	1077
677	2262	1074
678	2264	1070
679	2267	1067
680	2270	1063
681	2273	1060
682	2276	1056
683	2279	1053
684	2282	1049
685	2285	1046
686	2288	1042
687	2291	1039
688	2294	1035
689	2297	1031
690	2299	1028
691	2302	1024
692	2305	1021
693	2308	1017
694	2311	1014
695	2314	1011
696	2317	1007
697	2322	1004
698	2324	1001
699	2328	998
700	2331	994
701	2335	991
702	2338	987
703	2341	984
704	2345	981
705	2349	978
706	2352	974
707	2355	971
708	2359	968
709	2361	964
710	2365	961
711	2368	957
712	2371	954
713	2374	951
714	2378	948
715	2381	944
716	2384	941
717	2387	937
718	2391	934
719	2394	931
720	2397	927
721	2400	924
722	2403	921
723	2406	917
724	2411	914
725	2414	911
726	2417	907
727	2420	904
728	2424	901
729	2427	897
730	2431	894
731	2434	891
732	2437	887
733	2441	884
734	2444	881
735	2447	877
736	2450	874
737	2454	871
738	2457	868
739	2460	864
740	2463	861
741	2467	857
742	2470	854
743	2473	851
744	2476	847
745	2479	844
746	2483	840
747	2486	837
748	2490	834
749	2493	831
750	2496	827
751	2499	824
752	2502	821
753	2507	818
754	2511	815
755	2516	812
756	2521	809
757	2526	806
758	2529	803
759	2534	800
760	2539	797
761	2543	794
762	2547	791
763	2550	787
764	2554	784
765	2559	781
766	2563	778
767	2566	775
768	2570	772
769	2574	768
770	2578	765
771	2581	762
772	2585	759
773	2589	755
774	2594	753
775	2598	749
776	2602	746
777	2606	743
778	2610	740
779	2614	737
780	2618	734
781	2621	730
782	2625	727
783	2628	724
784	2633	721
785	2637	718
786	2640	714
787	2643	711
788	2650	708
789	2655	705
790	2658	702
791	2662	699
792	2665	695
793	2668	692
794	2672	689
795	2675	685
796	2678	682
797	2681	678
798	2684	675
799	2687	671
800	2690	668
801	2693	665
802	2697	661
803	2701	658
804	2706	655
805	2710	652
806	2714	649
807	2718	645
808	2721	642
809	2724	639
810	2728	635
811	2734	633
812	2740	630
813	2743	626
814	2747	623
815	2751	620
816	2755	617
817	2759	613
818	2762	610
819	2767	607
820	2770	604
821	2773	600
822	2778	597
823	2781	594
824	2784	590
825	2788	587
826	2793	584
827	2798	581
828	2801	577
829	2804	574
830	2810	571
831	2814	568
832	2818	564
833	2822	561
834	2826	558
835	2830	555
836	2833	551
837	2837	548
838	2842	545
839	2846	542
840	2851	539
841	2854	535
842	2858	532
843	2863	529
844	2867	526
845	2871	522
846	2874	519
847	2879	516
848	2883	512
849	2887	509
850	2890	506
851	2895	502
852	2898	499
853	2902	496
854	2905	492
855	2908	489
856	2911	485
857	2914	482
858	2917	478
859	2920	475
860	2923	471
861	2926	468
862	2929	465
863	2932	461
864	2935	458
865	2938	454
866	2940	451
867	2943	447
868	2946	444
869	2949	440
870	2952	437
871	2955	433
872	2958	430
873	2961	426
874	2964	423
875	2967	420
876	2970	416
877	2973	413
878	2976	409
879	2979	406
880	2982	402
881	2985	399
882	2988	396
883	2991	392
884	2994	389
885	2997	385
886	3000	382
887	3003	378
888	3006	375
889	3009	371
890	3012	368
891	3015	365
892	3018	361
893	3021	358
894	3024	354
895	3027	351
896	3030	347
897	3033	344
898	3035	341
899	3038	337
900	3041	334
901	3044	330
902	3047	327
903	3050	323
904	3053	320
905	3056	317
906	3059	313
907	3062	310
908	3065	306
909	3067	303
910	3070	300
911	3073	296
912	3076	293
913	3079	289
914	3082	286
915	3085	282
916	3088	279
917	3091	276
918	3094	272
919	3097	269
920	3100	265
921	3103	262
922	3105	259
923	3108	255
924	3112	252
925	3115	248
926	3117	245
927	3120	242
928	3123	238
929	3127	235
930	3129	231
931	3132	228
932	3135	225
933	3138	221
934	3144	218
935	3147	215
936	3150	211
937	3153	208
938	3156	205
939	3159	201
940	3162	198
941	3165	194
942	3168	191
943	3171	188
944	3174	184
945	3177	181
946	3180	177
947	3183	174
948	3185	171
949	3188	167
950	3192	164
951	3196	161
952	3199	157
953	3202	154
954	3206	151
955	3210	147
956	3214	144
957	3218	141
958	3222	137
959	3226	134
960	3230	131
961	3235	127
962	3238	124
963	3244	121
964	3248	117
965	3252	114
966	3257	111
967	3261	107
968	3264	104
969	3267	101
970	3271	97
971	3275	94
972	3280	91
973	3284	87
974	3288	84
975	3292	80
976	3295	77
977	3300	74
978	3304	70
979	3308	67
980	3311	64
981	3317	60
982	3322	57
983	3326	54
984	3331	50
985	3335	47
986	3339	43
987	3343	40
988	3346	37
989	3351	33
990	3355	30
991	3360	27
992	3366	23
993	3371	20
994	3376	16
995	3380	13
996	3384	10
997	3390	6
998	3394	3
999	3398	0
